Author,Format,ID,Name,Pages,Publisher,Publishing_Date,Rating
Orson Scott Card,Hardcover,1194.0,Ender's Game (The Ender Quintet),352.0,Tor Science Fiction,1994-7-15,4.5
Suzanne Collins,Kindle,1195.0,Catching Fire |Hunger Games|2,400.0,Scholastic Press,2013-6-4,4.6
G. P. Ching,Hardcover,1196.0,The Soulkeepers (The Soulkeepers Series) (Volume 1),356.0,"Carpe Luna, Ltd.",2014-6-4,4.3
Various,Paperback,1197.0,D6 Fantasy Creatures,96.0,West End Games,2004-8-15,3.0
David Okum,Kindle,1198.0,"Manga Fantasy Madness: Over 50 Basic Lessons for Drawing Warriors, Wizards, Monsters and more",128.0,IMPACT Books,2006-5-5,4.2
James Dashner,Hardcover,1199.0,"The Fever Code (Maze Runner, Book Five; Prequel) (The Maze Runner Series)",384.0,Delacorte Books for Young Readers,2017-12-26,4.6
Art DeForest,Hardcover,1200.0,Blood Shaman: Sara Nightwing Book 1,87.0,Independently published,2017-12-23,5.0
Julius St. Clair,Kindle,1201.0,The Last of the Sages (Book 1 of the Sage Saga) (Volume 1),284.0,L & W Books,2014-5-30,3.8
Tamara Rose Blodgett,Hardcover,1202.0,Death Whispers,468.0,CreateSpace Independent Publishing Platform,2012-4-17,4.1
S M Reine,Hardcover,1203.0,Hotter Than Helltown: An Urban Fantasy Mystery (Preternatural Affairs) (Volume 3),264.0,CreateSpace Independent Publishing Platform,2014-6-17,4.6
Dana Simpson,Paperback,1204.0,Unicorn of Many Hats  (Phoebe and Her Unicorn Series Book 7),176.0,Andrews McMeel Publishing,2018-3-20,
Gabriel Garcia Marquez,Hardcover,1205.0,One Hundred Years of Solitude (Harper Perennial Modern Classics),417.0,Harper Perennial Modern Classics,2006-2-21,4.0
Steve Diary,Paperback,1206.0,"Minecraft: Diary of a Wimpy Blaze: Legendary Minecraft Diary. An Unnoficial Minecraft Kids Fantasy Books (Minecraft Diary of a Wimpy, Books For Kids Ages 4-6, 6-8, 9-12)",68.0,CreateSpace Independent Publishing Platform,2018-2-18,4.0
Philip Pullman,Hardcover,1207.0,His Dark Materials Yearling 3-book Boxed Set (His Dark Materials (Paperback)),560.0,Yearling,2003-5-27,4.4
Ursula  K. Le Guin,Hardcover,1208.0,The Lathe Of Heaven: A Novel,192.0,Scribner,2008-4-15,4.4
D. Fischer,Paperback,1209.0,Reborn (Rise of the Realms: Book One) (Volume 1),270.0,CreateSpace Independent Publishing Platform,2018-1-5,4.6
Supittha Bunyapen,Paperback,1210.0,Shojo Wonder Manga Art School: Create Your Own Cool Characters and Costumes with Markers,144.0,IMPACT Books,2011-8-26,4.6
Akihito Tsukushi,Kindle,1211.0,Made in Abyss Vol. 1,166.0,Seven Seas,2018-1-23,5.0
Kouhei Horikoshi,Kindle,1212.0,"My Hero Academia, Vol. 2",208.0,VIZ Media LLC,2015-11-3,4.9
Akira Toriyama,Paperback,1213.0,"Dragon Ball Super, Vol. 2",216.0,VIZ Media LLC,2017-12-5,4.7
Charles Streams,Hardcover,1214.0,The Arch of Avooblis (The Adventurers' Academy Series) (Volume 1),282.0,CreateSpace Independent Publishing Platform,2013-9-28,4.0
L. K. Madigan,Hardcover,1215.0,The Mermaid's Mirror,320.0,HMH Books for Young Readers,2011-9-27,4.1
Jennifer A. Nielsen,Kindle,1216.0,"The False Prince (The Ascendance Trilogy, Book 1): Book 1 of the Ascendance Trilogy",352.0,Scholastic Paperbacks,2013-2-1,4.7
James Dashner,Paperback,1217.0,The Maze Runner (Book 1),375.0,Delacorte Press,2010-8-24,4.4
Brandon Cornwell,Paperback,1218.0,Thunderbolt (Dynasty of Storms),265.0,Independently published,2017-12-1,4.5
Daniel Arenson,Kindle,1219.0,Alien Hunters: Alien Hunters Book 1,308.0,CreateSpace Independent Publishing Platform,2014-12-20,3.9
Watson Forbes,Kindle,1220.0,Fantasia on Greensleeves,12.0,Oxford University Press,1969-3-31,1.0
Varg Vikernes,Kindle,1221.0,The Coming: For MYFAROG,76.0,CreateSpace Independent Publishing Platform,2016-6-25,3.9
Junot Díaz,Kindle,1223.0,The Brief Wondrous Life of Oscar Wao,339.0,Riverhead Books,2008-9-2,4.1
Dean Koontz,Kindle,1224.0,The Silent Corner: A Novel of Suspense (Jane Hawk),576.0,Bantam,2017-10-31,4.4
Ben Hatke,Paperback,1225.0,Mighty Jack,208.0,First Second,2016-9-6,4.8
Richard Paul Evans,Kindle,1226.0,Michael Vey 5: Storm of Lightning,288.0,Simon Pulse/Mercury Ink,2016-5-3,4.7
Jade Summer,Paperback,1227.0,"Baby Dragons: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",110.0,CreateSpace Independent Publishing Platform,2018-2-27,4.9
S. D. Smith,Hardcover,1228.0,The Last Archer: A Green Ember Story,,Story Warren Books,2017-12-28,4.9
Christopher Paolini,Kindle,1229.0,"Eragon (Inheritance, Book 1)",528.0,Knopf Books for Young Readers,2005-4-26,4.6
Cassandra Clare,Kindle,1230.0,City of Glass (The Mortal Instruments),592.0,Margaret K. McElderry Books,2015-9-1,4.7
Stephen King,Kindle,1231.0,The Green Mile: The Complete Serial Novel,512.0,Pocket Books,2017-6-27,4.8
Steve Jackson,Kindle,1232.0,Steve Jackson and Ian Livingstone Present: Portal Of Evil (Fighting Fantasy 37),288.0,Puffin / Penguin Books,1989-0-0,5.0
Rick Riordan,Hardcover,1233.0,The Kane Chronicles Box Set,1472.0,Disney-Hyperion,2013-0-0,4.7
Douglas Adams,Hardcover,1234.0,The Ultimate Hitchhiker's Guide to the Galaxy,832.0,Del Rey,2002-4-30,4.5
OKAYADO,Kindle,1235.0,Monster Musume Vol. 13,180.0,Seven Seas,2018-3-13,
Alex Rivers,Kindle,1236.0,Stolen Soul (Yliaster Crystal),384.0,Independently published,2018-2-26,4.8
Cassandra Clare,Kindle,1237.0,City of Ashes (The Mortal Instruments),512.0,Margaret K. McElderry Books,2015-9-1,4.6
Suzanne Collins,Hardcover,1238.0,The Hunger Games Box Set: Foil Edition,,Scholastic Press,2014-9-30,4.6
Sankichi Hinodeya,Paperback,1239.0,"Splatoon, Vol. 2",160.0,VIZ Media LLC,2018-3-13,
Ursula K. Le Guin,Hardcover,1240.0,A Wizard of Earthsea (The Earthsea Cycle),320.0,HMH Books for Young Readers,2012-9-11,4.2
Chris Colfer,Hardcover,1241.0,The Land of Stories: An Author's Odyssey,464.0,"Little, Brown Books for Young Readers",2017-6-13,4.7
Pierce Brown,Hardcover,1242.0,Golden Son: Book 2 of the Red Rising Saga (Red Rising Series),464.0,Del Rey,2015-7-7,4.7
Roald Dahl,Kindle,1243.0,Charlie and the Chocolate Factory,192.0,Puffin Books,2007-8-16,4.7
Zack Zombie,Paperback,1244.0,Diary of a Minecraft Zombie Book 2: Bullies and Buddies (Volume 2),136.0,Zack Zombie Publishing,2015-3-27,4.8
Sara Burrier,Paperback,1245.0,Watercolor Fairy Art: How to Bring Your Fairy Realm Art to Life,128.0,Barron's Educational Series,2014-10-1,4.7
C. S. Lewis,Kindle,1246.0,Till We Have Faces: A Myth Retold,368.0,HarperOne,2017-2-14,4.6
Roald Dahl,Paperback,1247.0,Matilda,256.0,Puffin Books,2007-8-16,4.7
James Dashner,Paperback,1248.0,"The Death Cure (Maze Runner, Book Three)",368.0,Delacorte Press,2013-1-8,4.3
Neil Gaiman,Hardcover,1249.0,The Graveyard Book,352.0,HarperCollins,2010-8-1,4.7
Natalie Babbit,Paperback,1250.0,Tuck Everlasting,160.0,Square Fish,2007-8-21,4.6
Jeff VanderMeer,Kindle,1251.0,The Strange Bird: A Borne Story,128.0,MCD x FSG Originals,2018-2-27,4.7
Stacey O'Neale,Kindle,1252.0,"The Shadow Prince (Mortal Enchantment, Book One)",130.0,CreateSpace Independent Publishing Platform,2014-3-8,4.2
Kimberly Loth,Hardcover,1253.0,God of the Sun (Stella and Sol) (Volume 1),272.0,CreateSpace Independent Publishing Platform,2017-3-16,4.5
Ruth Hogan,Hardcover,1254.0,The Keeper of Lost Things: A Novel,288.0,William Morrow Paperbacks,2017-11-28,4.4
Andrew Peterson,Hardcover,1255.0,On the Edge of the Dark Sea of Darkness (The Wingfeather Saga),304.0,WaterBrook,2008-3-18,4.7
Michael Dante DiMartino,Hardcover,1256.0,The Legend of Korra: Turf Wars Part One,80.0,Dark Horse Books,2017-8-8,4.6
Akira Toriyama,Hardcover,1257.0,"Dragon Ball Super, Vol. 1",192.0,VIZ Media LLC,2017-5-2,4.6
Nnedi Okorafor,Paperback,1258.0,Akata Witch,384.0,Speak,2017-7-11,4.6
Gabriel García Márquez,Paperback,1259.0,El amor en los tiempos del cólera (Oprah #59) (Spanish Edition),464.0,Vintage Espanol,2007-10-9,4.6
Christopher Rice,Kindle,1260.0,Ramses the Damned: The Passion of Cleopatra,416.0,Anchor,2017-11-21,4.2
Jan Nowicki,Kindle,1261.0,Final Fantasy Coloring Book: (43 new coloring pages!),88.0,CreateSpace Independent Publishing Platform,2018-3-2,
Robin Sloan,Hardcover,1262.0,Mr. Penumbra's 24-Hour Bookstore: A Novel,288.0,Picador,2013-9-24,4.1
Lesley Smitheringale,Paperback,1263.0,A Winter's Tale in Bramble Brook Woods: Adult Colouring Book,60.0,CreateSpace Independent Publishing Platform,2018-2-23,4.6
Rachel Hartman,Paperback,1264.0,Seraphina,528.0,Ember,2014-12-23,4.4
Sarah J. Maas,Hardcover,1265.0,A Court of Thorns and Roses,448.0,Bloomsbury USA Childrens,2016-5-3,4.6
Robin Hobb,Paperback,1266.0,Assassin's Fate: Book III of the Fitz and the Fool trilogy,960.0,Del Rey,2017-12-26,4.8
Jade Summer,Paperback,1267.0,"Mermaids: A Mermaid Coloring Book with Mythical Ocean Goddesses, Enchanting Sea Life, and Lost Fantasy Realms (Coloring Books for Adults)",126.0,CreateSpace Independent Publishing Platform,2017-5-19,4.7
David Staniforth,Kindle,1268.0,Fuel to the Fire (Volume 1),246.0,CreateSpace Independent Publishing Platform,2016-2-17,4.4
Shannon Hale,Kindle,1269.0,The Princess in Black and the Hungry Bunny Horde,96.0,Candlewick,2016-12-13,4.9
Mary Pope Osborne,Kindle,1270.0,"Magic Tree House Boxed Set, Books 13-16: Vacation Under the Volcano, Day of the Dragon King, Viking Ships at Sunrise, and Hour of the Olympics",96.0,Random House Books for Young Readers,2008-5-27,4.9
Erin Hunter,Hardcover,1271.0,Warriors: Omen of the Stars Box Set: Volumes 1 to 6,2256.0,HarperCollins,2015-11-3,4.8
Cassandra Clare,Hardcover,1272.0,City of Lost Souls (The Mortal Instruments),592.0,Margaret K. McElderry Books,2015-9-1,4.7
Cassandra Clare,Hardcover,1273.0,City of Fallen Angels (The Mortal Instruments),480.0,Margaret K. McElderry Books,2015-9-1,4.6
Orson Scott Card,Paperback,1274.0,"The Ender Quartet Boxed Set: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind (The Ender Quintet)",1760.0,Tor Science Fiction,2008-11-4,4.6
Jeanne DuPrau,Kindle,1275.0,The City of Ember (The First Book of Ember),270.0,Yearling,2004-5-25,4.5
Michael J. Sullivan,Hardcover,1276.0,Age of Swords: Book Two of The Legends of the First Empire,528.0,Del Rey,2018-1-30,4.3
Robert Kirkman,Paperback,1277.0,The Walking Dead:  Compendium One,1088.0,Image Comics,2009-5-19,4.8
Akira Himekawa,Hardcover,1278.0,"The Legend of Zelda: Twilight Princess, Vol. 2",192.0,VIZ Media LLC,2017-8-8,4.8
Tui T. Sutherland,Kindle,1279.0,Wings of Fire Book One: The Dragonet Prophecy,336.0,Scholastic Press,2013-4-30,4.7
Iain M. Banks,Kindle,1280.0,Consider Phlebas (Culture),544.0,Orbit,2008-3-26,3.8
Fritz Leiber,Hardcover,1281.0,"The Magazine of Fantasy and Science Fiction, July 1969 (Volume 37, No. 1)",,Mercury Press,1969-0-0,
Stephen Arseneault,Paperback,1282.0,OMEGA Exile,258.0,CreateSpace Independent Publishing Platform,2014-10-16,4.2
Bryce O'Connor,Hardcover,1283.0,Child of the Daystar (The Wings of War) (Volume 1),286.0,Bryce O'Connor,2015-12-11,4.6
Richard Matheson,Paperback,1285.0,I Am Legend,317.0,Orb Books,1997-9-15,4.3
Graham McNamee,Kindle,1286.0,Beyond: A Ghost Story,240.0,Ember,2013-9-10,4.2
J.R.R. Tolkien,Paperback,1287.0,Tolkien Fantasy Tales Box Set (The Tolkien Reader/The Silmarillion/Unfinished Tales/Sir Gawain and the Green Knight),,Del Rey,2003-7-29,4.8
Tui T. Sutherland,Hardcover,1288.0,Wings of Fire Book Two: The Lost Heir,336.0,Scholastic Press,2013-9-24,4.9
Tui T. Sutherland,Hardcover,1289.0,Wings of Fire Book Three: The Hidden Kingdom,336.0,Scholastic Inc.,2014-2-25,4.8
Kazu Kibuishi,Kindle,1290.0,The Stonekeeper (Amulet #1),192.0,GRAPHIX,2008-1-1,4.7
Mary Pope Osborne,Hardcover,1291.0,"Dinosaurs Before Dark (Magic Tree House, No. 1)",80.0,Random House Books for Young Readers,1992-7-28,4.8
Jim Butcher,Paperback,1292.0,"Grave Peril (The Dresden Files, Book 3)",378.0,ROC,2001-9-1,4.5
Robert McCammon,Hardcover,1293.0,Swan Song,928.0,Pocket Books,2016-7-26,4.6
Jim Butcher,Kindle,1294.0,Skin Game (Dresden Files),608.0,Roc,2015-3-3,4.8
Jim Butcher,Paperback,1295.0,Cold Days (Dresden Files),640.0,Roc,2013-9-3,4.8
Octavia E. Butler,Kindle,1296.0,Parable of the Talents (Earthseed),424.0,Grand Central Publishing,2000-1-1,4.5
Lincoln Child,Paperback,1297.0,Full Wolf Moon: A Novel (Jeremy Logan Series),304.0,Anchor,2018-2-6,4.1
,Hardcover,1298.0,The Cartel 5: La Bella Mafia,304.0,Urban Books,2016-12-27,4.6
Neal Stephenson,Kindle,1299.0,Cryptonomicon,928.0,William Morrow Paperbacks,2000-5-3,4.3
Patrick Suskind,Hardcover,1300.0,Perfume: The Story of a Murderer,255.0,Vintage,2001-2-13,4.1
Carol J. Perry,Paperback,1301.0,It Takes a Coven (A Witch City Mystery),384.0,Kensington,2018-2-27,4.7
Dean Koontz,Paperback,1302.0,Odd Thomas: An Odd Thomas Novel,480.0,Bantam,2012-4-24,4.5
Charlaine Harris,Hardcover,1303.0,"Day Shift (A Novel of Midnight, Texas)",400.0,Ace,2016-3-29,4.6
A.G. Riddle,Hardcover,1304.0,"The Atlantis World (The Origin Mystery, Book 3)",304.0,Riddle Inc.,2014-5-15,4.3
David Wong,Hardcover,1305.0,John Dies at the End,496.0,St. Martin's Griffin,2012-12-24,4.3
James Patterson,Paperback,1306.0,The Angel Experiment: A Maximum Ride Novel (Book 1),464.0,jimmy patterson,2007-4-1,4.4
Sylvain Neuvel,Hardcover,1307.0,Waking Gods: Book Two of The Themis Files,352.0,Del Rey,2018-3-13,4.3
Anthony Burgess,Kindle,1308.0,A Clockwork Orange,213.0,W. W. Norton & Company,1995-4-17,4.3
Charlaine Harris,Paperback,1309.0,"Club Dead (Sookie Stackhouse/True Blood, Book 3)",258.0,Ace Books,2003-4-29,4.5
Charlaine Harris,Hardcover,1310.0,Dead Ever After (Sookie Stackhouse/True Blood),368.0,Ace,2014-3-25,3.4
Ben Winters,Kindle,1311.0,Underground Airlines,336.0,Mulholland Books,2017-7-18,4.0
Salman Rushdie,Kindle,1312.0,The Satanic Verses: A Novel,576.0,Random House Trade Paperbacks,2008-3-11,3.6
Thomas Olde Heuvelt,Paperback,1313.0,HEX,384.0,Tor Books,2017-4-4,4.1
China Miéville,Paperback,1314.0,The City & The City: A Novel (Random House Reader's Circle),352.0,Del Rey,2010-4-27,3.9
Claudette Melanson,Hardcover,1315.0,Rising Tide: Dark Innocence (The Maura DeLuca Trilogy) (Volume 1),240.0,CreateSpace Independent Publishing Platform,2014-2-18,4.6
Jeaniene Frost,Kindle,1316.0,Shades of Wicked: A Night Rebel Novel,384.0,Avon,2018-10-30,
Terry Goodkind,Paperback,1317.0,Severed Souls: A Richard and Kahlan Novel,640.0,Tor Fantasy,2015-6-30,4.1
Charlaine Harris,Hardcover,1318.0,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",352.0,Ace,2013-3-26,3.8
Mur Lafferty,Hardcover,1319.0,Six Wakes,400.0,Orbit,2017-1-31,4.3
,Hardcover,1320.0,The Cartel,288.0,Urban Books,2017-2-28,4.7
,Hardcover,1321.0,The Cartel 2: Tale of the Murda Mamas,288.0,Urban Books,2017-3-28,4.7
Dean Koontz,Paperback,1322.0,Saint Odd: An Odd Thomas Novel,480.0,Bantam,2015-11-3,4.6
Dean Koontz,Paperback,1323.0,Forever Odd: An Odd Thomas Novel,383.0,Bantam Books,2012-4-24,4.3
Kay Hooper,Kindle,1324.0,Wait for Dark (A Bishop/SCU Novel),352.0,Berkley,2018-3-6,4.5
K Patrick Donoghue,Paperback,1325.0,Shadows of the Stone Benders (The Anlon Cully Chronicles) (Volume 1),316.0,"Leaping Leopard Enterprises, LLC",2016-5-14,4.1
Stephen King,Kindle,1326.0,Skeleton Crew: Stories,672.0,Scribner,2016-12-6,4.5
Michael Chabon,Hardcover,1327.0,The Yiddish Policemen's Union: A Novel (P.S.),464.0,Harper Perennial,2008-4-29,3.8
Erica Spindler,Hardcover,1328.0,Fallen Five (The Lightkeepers),260.0,Double Shot Press,2018-2-13,4.8
Charlaine Harris,Paperback,1329.0,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",368.0,Ace,2012-3-27,3.8
Lisa Shearin,Kindle,1330.0,The Myth Manifestation: A SPI Files Novel (Volume 5),300.0,NLA Digital LLC,2018-1-16,4.7
David Wong,Paperback,1331.0,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It (John Dies at the End)",464.0,St. Martin's Griffin,2013-10-8,4.7
Jasper Fforde,Hardcover,1332.0,Lost in a Good Book (A Thursday Next Novel),399.0,Penguin Books,2004-2-24,4.4
Daniel O'Malley,Hardcover,1333.0,The Rook,512.0,Back Bay Books,2012-0-0,4.4
Darynda Jones,Kindle,1334.0,First Grave on the Right (Charley Davidson Series),315.0,St. Martin's Paperbacks,,4.5
Matthew Reilly,Paperback,1335.0,"The Four Legendary Kingdoms (Jack West, Jr.)",464.0,Pocket Books,2018-2-27,4.7
Charlaine Harris,Kindle,1336.0,Dead to the World (Sookie Stackhouse/True Blood),310.0,Ace Books,2005-5-3,4.6
Alistair MacLean,Hardcover,1337.0,HMS Ulysses,480.0,Harper Collins,2004-11-1,4.5
Lynsay Sands,Hardcover,1338.0,Immortally Yours: An Argeneau Novel,400.0,Avon,2017-9-26,4.6
Michelle Erickson,Hardcover,1339.0,Chest of Souls Book One,400.0,lulu.com,2012-12-31,4.5
Isaac Asimov,Hardcover,1340.0,The Gods Themselves,304.0,Spectra,1990-9-4,4.4
Dean Koontz,Paperback,1341.0,Odd Hours: An Odd Thomas Novel,432.0,Bantam,2009-4-28,4.4
Anne Rice,Kindle,1342.0,"The Vampire Lestat (Vampire Chronicles, Book II)",576.0,Ballantine Books,1986-9-12,4.5
Darynda Jones,Paperback,1343.0,Second Grave on the Left,336.0,St. Martin's Paperbacks,2012-0-0,4.7
Lara Elena Donnelly,Hardcover,1344.0,Amberlough: Book 1 in the Amberlough Dossier,416.0,Tor Books,2018-2-13,4.9
A. G. Riddle,Hardcover,1345.0,Departure,336.0,Harper Voyager,2016-7-5,4.2
Douglas Adams,Paperback,1346.0,Dirk Gently's Holistic Detective Agency,272.0,Gallery Books,2014-10-7,4.3
Joe Hill,Paperback,1347.0,Heart-Shaped Box,400.0,William Morrow Paperbacks,2009-0-0,4.3
I. J. Weinstock,Hardcover,1348.0,The Secret Sex Life of Angels: Mysteries of Isis,316.0,DreaMaster,2016-9-2,4.5
Claire North,Hardcover,1349.0,The First Fifteen Lives of Harry August,432.0,Redhook,2014-10-21,4.4
Marcus Sakey,Hardcover,1350.0,Written in Fire (The Brilliance Trilogy),345.0,Thomas & Mercer,2016-1-12,4.5
Charlaine Harris,Hardcover,1351.0,"Definitely Dead (Sookie Stackhouse/True Blood, Book 6)",342.0,Ace,2007-3-27,4.5
Jeaniene Frost,Kindle,1352.0,Into the Fire: A Night Prince Novel,384.0,Avon,2017-2-28,4.4
Amanda Quick,Hardcover,1353.0,Crystal Gardens (Ladies of Lantern Street Novels),400.0,Berkley,2013-3-26,4.3
Elicia Hyder,Hardcover,1354.0,The Soul Summoner (Volume 1),314.0,Forge Creek Press,2015-10-24,4.6
Robert McCammon,Kindle,1355.0,Boy's Life,608.0,Pocket Books,1992-5-1,4.7
Haruki Murakami,Kindle,1356.0,A Wild Sheep Chase: A Novel,353.0,Vintage,2002-4-9,4.3
Laurell K. Hamilton,Paperback,1357.0,"The Killing Dance (Anita Blake, Vampire Hunter, Book 6)",400.0,Berkley,2002-9-24,4.6
Tom DeLonge,Paperback,1358.0,Sekret Machines Book 1: Chasing Shadows,704.0,To the Stars,2017-2-28,4.4
William Gibson,Kindle,1359.0,Count Zero,246.0,Ace,1987-4-1,4.4
Ben Aaronovitch,Kindle,1360.0,Midnight Riot (Rivers of London),320.0,Del Rey,2011-2-1,4.4
Robert Jackson Bennett,Hardcover,1361.0,City of Stairs (The Divine Cities),464.0,Broadway Books,2014-9-9,4.4
Deborah Harkness,Paperback,1362.0,The All Souls Trilogy Boxed Set,1760.0,Penguin Books,2015-5-26,4.6
Jasper Fforde,Hardcover,1363.0,The Eyre Affair: A Thursday Next Novel,400.0,Penguin Books,2003-2-25,4.1
James Patterson,Hardcover,1364.0,Pop Goes the Weasel (Alex Cross),480.0,Grand Central Publishing,2000-10-1,4.4
Charlaine Harris,Paperback,1365.0,From Dead to Worse (Sookie Stackhouse/True Blood),321.0,Ace Books,2009-3-31,4.4
William Peter Blatty,Paperback,1366.0,The Exorcist: 40th Anniversary Edition,400.0,Harper Paperbacks,2011-10-4,4.5
James Rollins,Kindle,1367.0,Map of Bones (Sigma Force),656.0,HarperCollins,2011-4-26,4.4
Darynda Jones,Hardcover,1368.0,Eighth Grave After Dark: A Novel (Charley Davidson Series),320.0,St. Martin's Paperbacks,2015-10-6,4.7
Darynda Jones,Kindle,1369.0,The Dirt on Ninth Grave: A Novel (Charley Davidson Series),384.0,St. Martin's Paperbacks,2016-5-31,4.7
Darynda Jones,Hardcover,1370.0,Fourth Grave Beneath My Feet (Charley Davidson Series),368.0,St. Martin's Paperbacks,2013-3-26,4.8
Laurell K. Hamilton,Hardcover,1371.0,"Bloody Bones (Anita Blake, Vampire Hunter, Book 5)",384.0,Berkley,2002-9-26,4.6
Alexia Gordon,Hardcover,1372.0,Killing in C Sharp (A Gethsemane Brown Mystery) (Volume 3),288.0,Henery Press,2018-3-6,4.3
Christine Feehan,Hardcover,1373.0,Power Game (A GhostWalker Novel),400.0,Berkley,2017-6-20,4.8
Carl Weber,Paperback,1374.0,The Family Business 3: A Family Business Novel,384.0,Urban Books,2017-9-26,4.7
Neal Stephenson,Kindle,1375.0,Anathem,1008.0,Harper,2009-8-25,4.2
Darynda Jones,Paperback,1376.0,Seventh Grave and No Body (Charley Davidson),384.0,St. Martin's,2015-5-5,4.8
NISIOISIN,Hardcover,1377.0,"BAKEMONOGATARI, Part 2: Monster Tale",330.0,Vertical,2017-2-28,4.8
Haruki Murakami,Kindle,1378.0,Sputnik Sweetheart: A Novel,210.0,Vintage,2002-4-9,4.3
Charlaine Harris,Kindle,1379.0,All Together Dead (Sookie Stackhouse/True Blood),342.0,Ace Books,2008-3-25,4.5
Stephen King,Paperback,1380.0,The Running Man: A Novel,416.0,Pocket Books,2016-4-19,4.3
Dean Koontz,Paperback,1381.0,Brother Odd: An Odd Thomas Novel,464.0,Bantam,2012-4-24,4.5
Janet Evanovich,Kindle,1382.0,Wicked Appetite (Lizzy and Diesel),352.0,St. Martin's Paperbacks,2011-8-16,4.1
Dean Koontz,Paperback,1383.0,Innocence (with bonus short story Wilderness): A Novel,480.0,Bantam,2014-11-25,4.2
Nick Cutter,Hardcover,1384.0,The Troop: A Novel,384.0,Gallery Books,2016-8-16,4.1
Anne Rice,Kindle,1385.0,Prince Lestat: The Vampire Chronicles,608.0,Anchor,2015-7-7,4.2
Stephen King,Paperback,1386.0,The Dark Tower 8-Book Boxed Set,4720.0,Scribner,2016-12-6,4.7
Meg Elison,Hardcover,1387.0,The Book of the Unnamed Midwife (The Road to Nowhere),300.0,47North,2016-10-11,4.3
Dean Koontz,Paperback,1388.0,Frankenstein: Prodigal Son: A Novel,496.0,Bantam,2009-7-28,4.2
Brick,Paperback,1389.0,The Syndicate 3: Carl Weber Presents,288.0,Urban Books,2017-10-31,4.9
James Patterson,Paperback,1390.0,Angel: A Maximum Ride Novel,352.0,jimmy patterson,2012-2-7,4.4
James Patterson,Paperback,1391.0,Fang: A Maximum Ride Novel,368.0,jimmy patterson,2011-1-4,4.5
Dean Koontz,Paperback,1392.0,Ashley Bell: A Novel,768.0,Bantam,2016-9-27,3.9
Laurell K. Hamilton,Kindle,1393.0,"Circus of the Damned (Anita Blake, Vampire Hunter, Book 3)",336.0,Berkley,2002-9-24,4.6
Orhan Pamuk,Kindle,1394.0,My Name Is Red,432.0,Vintage,2002-8-27,3.9
C.J. Archer,Hardcover,1395.0,The Magician's Diary (Glass and Steele),338.0,C.J. Archer,2017-11-7,4.5
James Patterson,Kindle,1396.0,Nevermore: A Maximum Ride Novel,368.0,jimmy patterson,2014-2-25,4.1
Tim O'Brien,Kindle,1397.0,Going After Cacciato,352.0,Broadway Books,1999-9-1,3.9
Nora Roberts,Hardcover,1398.0,Key of light / Key of Knowledge / Key of Valor (Key Trilogy),,Berkley,2004-9-28,4.7
NISIOISIN,Paperback,1399.0,"BAKEMONOGATARI, Part 3: Monster Tale",226.0,Vertical,2017-4-25,5.0
Steve Berry,Hardcover,1400.0,The Templar Legacy: A Novel (Cotton Malone),544.0,Ballantine Books,2007-11-27,4.1
G.N. Abernethy,Kindle,1401.0,Andromeda's Catch,259.0,Independently published,2018-3-2,
Anne Rice,Paperback,1402.0,Taltos (Lives of Mayfair Witches),576.0,Ballantine Books,1996-3-31,4.1
,Kindle,1403.0,The Cartel Deluxe Edition: Books 1-3,400.0,Urban Books,2018-1-30,
Antara Mann,Hardcover,1404.0,Bound by Sorcery: A New Adult Urban Fantasy (The Half-Goddess Chronicles) (Volume 1),412.0,CreateSpace Independent Publishing Platform,2017-9-8,3.8
Karen White,Hardcover,1405.0,The Girl On Legare Street (Tradd Street),335.0,Berkley,2009-11-3,4.6
Laurell K. Hamilton,Hardcover,1406.0,"Burnt Offerings (Anita Blake, Vampire Hunter, Book 7)",400.0,Berkley,2002-9-24,4.5
Ted Dekker,Kindle,1407.0,Red (Circle Trilogy),528.0,Thomas Nelson,2012-2-3,4.7
James Patterson,Hardcover,1408.0,Witch & Wizard,368.0,jimmy patterson,2011-3-1,4.1
Nicholas Sansbury Smith,Hardcover,1409.0,Extinction War (The Extinction Cycle),464.0,Orbit,2017-11-28,4.9
Gabriel García Márquez,Hardcover,1410.0,El coronel no tiene quien le escriba (Spanish Edition),112.0,Vintage Espanol,2010-4-13,4.4
Anne Rice,Hardcover,1411.0,"The Queen of the Damned (The Vampire Chronicles, No. 3)",512.0,Ballantine Books,1989-9-13,4.3
Robert Ludlum,Kindle,1412.0,The Bourne Ultimatum: Jason Bourne Book #3,752.0,Bantam,2012-6-26,3.9
Jonathan Yanez,Kindle,1413.0,House of Wolves: (A Paranormal Urban Fantasy) (The Vampire Project),306.0,Independently published,2017-7-22,4.3
John Scalzi,Paperback,1414.0,Lock In: A Novel of the Near Future,336.0,Tor Science Fiction,2015-8-4,4.2
Robert Jackson Bennett,Hardcover,1415.0,City of Miracles (The Divine Cities),464.0,Broadway Books,2017-5-2,4.7
