,docID,position,term,label
13087,205,151,constantly,False
13090,205,170,matter,False
13092,205,181,often,False
13094,205,191,staff,False
13095,205,197,changes,False
13097,205,209,can,False
13098,205,213,always,False
13099,205,220,count,False
13103,205,240,inept,False
13108,205,27,eat,False
13110,205,271,id,False
13111,205,274,suggest,False
13112,205,282,walking,False
13113,205,290,inside,False
13115,205,302,drive,False
13118,205,319,always,False
13120,205,328,long,False
13121,205,333,wait,False
13123,205,342,food,False
13125,205,350,typical,False
13126,205,358,mcdonalds,False
13127,205,368,except,False
13130,205,385,french,False
13131,205,392,fries,True
13134,205,407,mcdonalds,False
13136,205,419,love,False
13138,205,430,fries,True
13142,205,450,place,False
13143,205,457,theyre,False
13144,205,464,always,False
13145,205,471,old,False
13148,205,482,taste,False
13152,205,499,never,False
13153,205,143,change,False
13155,205,516,oil,False
13158,205,529,fryer,False
13159,205,304,ive,False
13160,205,541,never,False
13163,205,553,good,False
13164,205,558,french,False
13165,205,529,fry,False
13168,205,577,place,False
13170,205,586,youre,False
13171,205,592,really,False
13172,205,599,craving,False
13173,205,607,mcdonalds,False
13174,205,293,id,False
13175,205,620,suggest,False
13177,205,632,try,False
13178,205,636,another,False
13179,205,644,one,False
13180,206,0,ive,False
13181,206,4,eaten,False
13183,206,15,several,False
13184,206,23,times,False
13187,206,34,work,False
13190,206,46,area,False
13192,206,54,usual,False
13195,206,66,food,False
13196,206,71,court,False
13197,206,77,area,False
13200,206,87,casino,False
13202,206,98,always,False
13204,206,110,loud,False
13207,206,125,line,False
13209,206,133,usually,False
13211,206,146,long,False
13213,206,154,well,False
13214,206,159,ive,False
13215,206,163,never,False
13216,206,169,tried,False
13217,206,175,popeyes,False
13218,206,183,prior,False
13221,206,197,place,False
13222,206,203,opening,False
13224,206,215,can,False
13225,206,219,say,False
13227,206,229,several,False
13228,206,237,visits,False
13233,206,260,typical,False
13236,206,275,popeyes,False
13237,206,283,chicken,False
13238,206,24,im,False
13241,206,300,big,False
13242,206,304,fan,False
13245,206,317,food,False
13246,207,0,ive,False
13251,207,20,times,False
13254,207,35,years,False
13255,207,42,id,False
13256,207,45,probably,False
13257,207,54,eat,False
13262,207,73,didnt,False
13263,207,79,live,False
13266,207,91,opposite,False
13267,207,100,side,False
13269,207,108,town,False
13270,207,80,ive,False
13271,207,117,always,False
13272,207,124,enjoyed,False
13274,207,135,experience,False
13277,207,155,look,False
13278,207,160,forward,False
13280,207,171,eating,False
13284,208,3,girlfriend,False
13287,208,20,decided,False
13289,208,31,order,False
13291,208,41,one,False
13292,208,45,evening,False
13294,208,57,wanted,False
13296,208,67,try,False
13297,208,71,someplace,False
13298,208,81,new,False
13300,208,88,decided,False
13302,208,99,try,False
13303,208,103,seattle,False
13304,208,111,dans,False
13305,208,117,well,False
13307,208,126,good,False
13308,208,131,part,False
13309,208,136,first,False
13311,208,147,price,False
13313,208,157,right,False
13314,208,164,delivery,False
13316,208,177,fairly,False
13317,208,184,quick,False
13320,208,199,service,False
13322,208,211,friendly,False
13324,208,224,bad,False
13325,208,228,news,False
13328,208,241,food,False
13331,208,254,worst,False
13332,208,167,ive,False
13333,208,264,ever,False
13335,208,273,delivered,False
13337,208,288,best,False
13338,208,293,thing,False
13340,208,301,can,False
13341,208,305,say,False
13344,208,321,pizza,True
13349,208,342,edible,False
13350,208,350,im,False
13351,208,353,sure,False
13352,208,358,homeless,False
13353,208,367,people,False
13355,208,380,love,False
13358,208,394,wings,False
13361,208,409,absolute,False
13362,208,418,worst,False
13363,208,260,ive,False
13364,208,428,ever,False
13367,208,443,looked,False
13368,208,450,like,False
13371,208,465,uncooked,False
13373,208,478,didnt,False
13374,208,484,taste,False
13375,208,490,much,False
13376,208,495,like,False
13379,208,510,either,False
13380,208,518,im,False
13382,208,525,sure,False
13385,208,540,get,False
13387,208,546,homeless,False
13388,208,555,person,False
13390,208,104,eat,False
13393,208,580,might,False
13395,208,589,able,False
13397,208,597,persuade,False
13399,208,608,homeless,False
13400,208,617,dog,False
13401,208,621,unless,False
13403,208,633,improve,False
13405,208,647,menu,False
13406,208,23,id,False
13407,208,655,never,False
13408,208,661,order,False
13413,209,4,much,False
13418,209,27,couple,False
13420,209,37,picnic,False
13421,209,44,tables,False
13424,209,57,restroom,False
13427,209,75,provide,False
13429,209,85,nice,False
13430,209,90,place,False
13432,209,99,park,False
13435,209,111,plan,False
13437,209,119,hike,False
13438,209,124,around,False
13439,209,132,cheyenne,False
13440,209,141,mntn,False
13442,209,151,want,False
13444,209,159,start,False
13447,209,172,northern,False
13448,209,181,end,False
13451,210,0,stopped,False
13455,210,19,pick,False
13457,210,27,lunch,False
13460,210,40,way,False
13461,210,44,home,False
13462,210,49,today,False
13465,210,62,honest,False
13467,210,71,havent,False
13468,210,78,eaten,False
13471,210,89,sonic,False
13473,210,98,forever,False
13475,210,110,parking,False
13477,210,63,one,False
13480,210,134,little,False
13481,210,141,ordering,False
13482,210,150,machines,False
13484,210,161,got,False
13488,210,175,car,False
13493,210,196,walk,False
13497,210,214,didnt,False
13498,210,220,know,False
13502,210,141,order,False
13503,210,242,food,False
13505,210,161,go,False
13507,210,259,parked,False
13509,210,121,one,False
13512,210,282,ordering,False
13513,210,291,machines,False
13514,210,301,also,False
13515,210,306,im,False
13516,210,309,sure,False
13520,210,325,better,False
13521,210,332,name,False
13523,210,342,ordering,False
13524,210,150,machine,False
13525,210,361,maybe,False
13526,210,367,ordering,False
13527,210,376,station,False
13528,210,384,vending,False
13529,210,392,space,False
13530,210,398,im,False
13531,210,401,sure,False
13533,210,409,youve,False
13534,210,101,ever,False
13537,210,269,one,False
13539,210,436,know,False
13541,210,446,im,False
13542,210,449,referring,False
13544,210,462,anyway,False
13546,210,471,young,False
13547,210,477,lady,False
13548,210,482,comes,False
13549,210,488,outside,False
13551,210,499,tell,False
13555,210,513,sonic,False
13556,210,519,works,False
13559,210,236,order,False
13562,210,291,machine,False
13563,210,555,outside,False
13565,210,78,eat,False
13567,210,428,one,False
13570,210,586,tables,False
13574,210,566,eat,False
13577,210,614,car,False
13579,210,624,parked,False
13581,210,573,one,False
13584,210,647,ordering,False
13585,210,656,stations,False
13588,210,673,actually,False
13591,210,689,drive,False
13593,210,705,im,False
13594,210,708,sure,False
13596,210,717,must,False
13598,210,727,wondered,False
13604,210,757,old,False
13605,210,761,guy,False
13607,210,769,didnt,False
13608,210,775,know,False
13611,210,786,fast,False
13612,210,791,food,False
13613,210,796,joint,False
13614,210,802,worked,False
13615,210,810,anyway,False
13618,210,825,kind,False
13620,210,834,polite,False
13624,210,853,best,False
13627,210,865,make,False
13629,210,873,feel,False
13630,210,878,like,False
13632,210,885,absent,False
13633,210,892,minded,False
13634,210,899,old,False
13635,210,903,guyweighing,False
13637,210,918,options,False
13639,210,928,decided,False
13641,210,208,use,False
13643,210,949,drive,False
13646,210,966,ordered,False
13648,210,976,couple,False
13649,210,983,hot,False
13650,210,987,dogs,False
13651,210,634,one,False
13652,210,997,mustard,False
13656,210,1016,chicago,False
13657,210,1024,style,False
13658,210,987,dog,False
13660,210,282,order,False
13662,210,1046,tater,False
13663,210,1052,tots,False
13666,210,1063,number,False
13669,210,1080,just,False
13671,210,1087,classic,False
13672,210,1095,burger,True
13673,210,1102,fries,True
13676,210,1114,drink,False
13679,210,1126,typical,False
13682,210,1140,fast,False
13683,210,1145,food,False
13684,210,1150,joint,False
13687,210,1163,staffed,False
13691,210,1183,young,False
13692,210,1189,group,False
13694,210,1198,people,False
13698,210,1219,typical,False
13701,210,1233,fast,False
13702,210,1238,food,False
13703,210,1243,joint,False
13706,210,1257,actually,False
13707,210,1266,got,False
13709,210,342,order,False
13710,210,1279,right,False
13711,210,1285,food,False
13713,210,1294,actually,False
13714,210,1303,pretty,False
13715,210,1310,good,False
13718,210,1321,fast,False
13719,210,1326,food,False
13720,210,1331,joint,False
13721,210,1338,im,False
13722,210,1341,sure,False
13725,210,1353,feel,False
13726,210,1358,like,False
13727,210,1363,abusing,False
13729,210,1374,body,False
13731,210,1384,fast,False
13732,210,1389,food,False
13733,210,1394,ill,False
13734,210,1398,visit,False
13736,210,1409,place,False
13739,211,3,leaving,False
13740,211,11,work,False
13743,211,26,night,False
13748,211,45,mood,False
13751,211,59,bbq,True
13753,211,66,quick,False
13754,211,72,yelp,False
13755,211,77,review,False
13756,211,84,showed,False
13758,211,96,place,False
13762,211,112,way,False
13763,211,116,home,False
13766,211,127,small,False
13767,211,133,place,False
13770,211,144,business,False
13771,211,153,district,False
13773,211,167,young,False
13774,211,173,tatted,False
13775,211,180,girl,False
13776,211,185,working,False
13778,211,197,counter,False
13780,211,209,polite,False
13782,211,220,helpful,False
13784,211,234,perusing,False
13786,211,249,menu,False
13788,211,256,decided,False
13790,211,267,order,False
13792,211,275,full,False
13793,211,280,slab,False
13795,211,288,beef,False
13796,211,293,ribs,True
13798,211,300,order,False
13800,211,309,mac,False
13802,211,317,cheese,False
13804,211,328,two,False
13805,211,332,orders,False
13807,211,342,coleslaw,True
13810,211,359,tip,False
13812,211,366,came,False
13815,211,376,wanted,False
13817,211,386,get,False
13819,211,392,bottle,False
13821,211,402,soda,True
13823,211,410,go,False
13826,211,422,dont,False
13827,211,427,sell,False
13831,211,442,bottle,False
13834,211,455,didnt,False
13835,211,376,want,False
13837,211,469,spill,False
13841,211,484,car,False
13844,211,495,way,False
13845,211,499,home,False
13848,211,510,passed,False
13851,211,524,soda,True
13853,211,532,found,False
13855,211,542,entire,False
13856,211,549,meal,False
13859,211,560,okay,False
13861,211,570,ribs,True
13864,211,585,pink,False
13867,211,597,middle,False
13869,211,607,suppose,False
13871,211,620,like,False
13874,211,633,way,False
13878,211,652,much,False
13880,211,662,pink,False
13883,211,675,prefer,False
13884,211,682,neither,False
13886,211,145,us,False
13887,211,696,liked,False
13889,211,706,mac,False
13891,211,714,cheese,False
13893,211,725,found,False
13895,211,735,macaronis,True
13898,211,751,way,False
13900,211,760,cooked,False
13902,211,771,prefer,False
13907,211,793,little,False
13908,211,800,bit,False
13910,211,807,firmness,False
13912,211,342,cole,False
13913,211,346,slaw,False
13916,211,838,best,False
13917,211,843,part,False
13920,211,855,meal,False
13921,211,860,although,False
13925,211,878,bit,False
13926,211,882,dry,False
13931,211,902,little,False
13932,211,825,slaw,False
13933,211,914,juice,False
13940,211,943,greatso,False
13943,211,959,stop,False
13946,211,976,perhaps,False
13949,211,990,think,False
13950,211,259,id,False
13951,211,999,try,False
13952,211,1003,something,False
13953,211,1013,different,False
13955,211,1028,bottles,False
13957,211,1039,cans,False
13959,211,1047,soda,True
13962,211,943,great,False
13965,211,1074,wouldnt,False
13968,211,1090,stop,False
13969,211,1095,somewhere,False
13970,211,1105,else,False
13972,212,2,drive,False
13975,212,16,place,False
13976,212,22,just,False
13978,212,33,everyday,False
13981,212,48,way,False
13983,212,55,work,False
13984,212,4,ive,False
13985,212,65,always,False
13987,212,77,curious,False
13994,212,114,yesterday,False
13996,212,127,decided,False
13998,212,138,stop,False
14001,212,150,give,False
14004,212,160,try,False
14006,212,166,ordered,False
14008,212,178,shrimp,True
14009,212,185,po,False
14010,212,188,boy,False
14011,212,192,sandwich,False
14013,212,205,girl,False
14014,212,210,ordered,False
14016,212,222,blt,True
14018,212,230,blt,True
14020,212,238,edible,False
14022,212,250,shrimp,True
14023,212,257,po,False
14024,212,260,boy,False
14027,212,181,im,False
14030,212,282,picky,False
14031,212,288,eater,False
14036,212,309,able,False
14038,212,317,take,False
14039,212,322,two,False
14040,212,326,bites,False
14043,212,339,po,False
14044,212,342,boy,False
14046,212,350,tasted,False
14047,212,357,like,False
14048,212,362,old,False
14049,212,366,grease,False
14051,212,378,shrimp,True
14053,212,390,tasteless,False
14055,212,404,waiter,False
14056,212,411,stopped,False
14059,212,426,asked,False
14062,212,440,food,False
14065,212,452,told,False
14067,212,461,horrible,False
14069,212,474,just,False
14070,212,479,smiled,False
14072,212,490,walked,False
14073,212,497,away,False
14075,212,505,think,False
14077,212,514,must,False
14079,212,524,misheard,False
14081,212,537,lolother,False
14082,212,546,options,False
14083,212,554,may,False
14085,212,561,better,False
14087,212,572,youve,False
14089,212,583,got,False
14090,212,587,one,False
14091,212,591,shot,False
14093,212,599,make,False
14095,212,606,first,False
14096,212,612,impression,False
14098,212,628,impression,False
14100,212,644,left,False
14101,212,649,wont,False
14103,212,23,us,False
14104,212,662,coming,False
14105,212,669,back,False
14107,213,2,normally,False
14108,213,11,dont,False
14109,213,16,like,False
14110,213,21,coffee,True
14111,213,28,shops,False
14114,213,41,strip,False
14118,213,56,like,False
14120,213,66,one,False
14122,213,74,place,False
14123,213,80,looks,False
14124,213,86,clean,False
14126,213,96,smells,False
14127,213,103,great,False
14128,213,110,staff,False
14130,213,119,friendly,False
14131,213,129,ill,False
14133,213,136,revisiting,False
14135,214,0,stopped,False
14138,214,16,recently,False
14140,214,29,lunch,False
14142,214,38,ordered,False
14144,214,48,chicken,False
14145,214,56,sandwich,False
14146,214,65,combo,False
14148,214,74,go,False
14150,214,81,two,False
14151,214,85,guys,False
14152,214,90,working,False
14154,214,102,front,False
14155,214,108,counter,False
14158,214,124,enthusiasm,False
14161,214,140,couple,False
14163,214,150,rocks,False
14165,214,160,looked,False
14166,214,167,like,False
14170,214,182,effort,False
14174,214,201,even,False
14175,214,206,take,False
14177,214,213,step,False
14179,214,221,understand,False
14181,214,236,probably,False
14184,214,253,best,False
14185,214,258,job,False
14188,214,269,world,False
14192,214,289,people,False
14193,214,296,like,False
14196,214,308,recruit,False
14198,214,320,employees,False
14200,214,335,people,False
14202,214,345,run,False
14206,214,365,day,False
14208,214,372,day,False
14209,214,376,activities,False
14211,214,394,two,False
14213,214,403,zero,False
14214,214,408,chances,False
14217,214,425,recruited,False
14219,214,90,work,False
14220,214,443,somewhere,False
14221,214,453,else,False
14223,214,460,also,False
14226,214,472,ask,False
14229,214,484,fries,True
14231,214,495,went,False
14234,214,508,combo,False
14236,214,517,got,False
14242,214,543,heavy,False
14243,214,549,sigh,False
14245,214,559,one,False
14248,214,570,two,False
14251,214,581,counter,False
14255,214,605,thought,False
14256,214,613,id,False
14257,214,616,asked,False
14260,214,629,come,False
14261,214,634,outside,False
14263,214,646,change,False
14265,214,656,tire,False
14266,214,661,rather,False
14268,214,673,just,False
14269,214,678,asking,False
14273,214,696,bag,False
14275,214,703,fries,True
14277,214,713,food,False
14279,214,722,mediocre,False
14280,214,731,probably,False
14282,214,742,three,False
14285,214,757,lack,False
14287,214,765,enthusiastic,False
14288,214,778,service,False
14289,214,786,definitely,False
14290,214,797,drops,False
14294,214,811,two,False
14295,215,0,stopped,False
14299,215,21,evening,False
14302,215,35,drink,False
14303,215,42,bar,False
14305,215,50,packed,False
14307,215,61,managed,False
14309,215,72,squeeze,False
14313,215,90,bar,False
14315,215,98,order,False
14317,215,106,drink,False
14321,215,123,take,False
14323,215,132,drinks,False
14326,215,144,table,False
14330,215,163,nowhere,False
14333,215,178,bar,False
14335,215,185,sit,False
14337,215,193,bartender,False
14338,215,203,noticed,False
14339,215,211,us,False
14341,215,217,soon,False
14344,215,228,came,False
14349,215,247,plus,False
14350,215,253,seems,False
14352,215,261,lot,False
14354,215,268,bartenders,False
14355,215,196,tend,False
14357,215,287,ignore,False
14360,215,302,awhile,False
14361,215,309,unless,False
14362,215,316,youre,False
14364,215,324,regular,False
14366,215,335,also,False
14367,215,340,ordered,False
14369,215,350,basket,False
14371,215,360,fries,True
14374,215,377,quite,False
14375,215,383,tasty,False
14380,215,404,star,False
14381,215,409,rating,False
14383,215,421,new,False
14386,215,432,area,False
14389,215,446,looking,False
14392,215,460,friendly,False
14393,215,469,type,False
14395,215,193,bar,False
14397,215,484,place,False
14399,215,496,customers,False
14400,215,506,actually,False
14401,215,515,talk,False
14405,215,534,rather,False
14407,215,546,hunch,False
14410,215,563,poker,False
14411,215,569,machines,False
14413,215,583,place,False
14415,215,592,nice,False
14416,215,597,enough,False
14419,215,612,made,False
14423,215,631,mold,False
14425,215,639,many,False
14428,215,651,bars,False
14430,215,659,vegas,False
14431,216,0,ate,False
14435,216,17,girlfriend,False
14437,216,33,evening,False
14441,216,54,mongolian,False
14442,216,64,entree,False
14447,216,85,pad,False
14448,216,89,cha,False
14449,216,93,cha,False
14450,216,97,cha,False
14451,216,101,entree,False
14454,216,119,excellent,False
14455,216,129,weve,False
14456,216,134,also,False
14457,216,139,eaten,False
14464,216,173,complaints,False
14466,216,189,time,False
14467,216,194,either,False
14468,216,201,service,False
14470,216,213,prompt,False
14472,216,224,friendly,False
14473,216,233,well,False
14474,216,238,definitely,False
14476,216,252,back,False
14478,217,0,stopped,False
14481,217,16,recently,False
14483,217,29,breakfast,False
14486,217,48,seated,False
14487,217,55,fairly,False
14488,217,62,quickly,False
14491,217,77,one,False
14492,217,81,ever,False
14493,217,86,came,False
14495,217,94,take,False
14497,217,103,order,False
14500,217,115,left,False
14502,218,2,love,False
14504,218,9,good,False
14505,218,14,burger,True
14506,218,21,cant,False
14507,218,26,say,False
14509,218,32,love,False
14511,218,42,place,False
14514,218,54,excited,False
14516,218,65,try,False
14518,218,74,place,False
14521,218,88,opened,False
14523,218,98,made,False
14524,218,103,one,False
14525,218,107,visit,False
14528,218,123,havent,False
14530,218,135,back,False
14531,218,140,since,False
14533,218,149,dont,False
14534,218,154,remember,False
14537,218,170,ordered,False
14541,218,188,sometime,False
14542,218,197,ago,False
14543,218,202,obviously,False
14545,218,216,unimpressed,False
14548,218,239,burger,True
14551,218,252,recall,False
14552,218,259,throwing,False
14554,218,272,fries,True
14555,218,278,away,False
14558,218,293,disgusting,False
14559,218,304,enough,False
14562,218,317,memorable,False
14565,218,334,plus,False
14566,218,339,side,False
14568,218,348,place,False
14570,218,358,neat,False
14572,218,367,clean,False
14574,218,377,staff,False
14576,218,387,friendly,False
14578,218,400,quick,False
14579,218,406,enough,False
14581,218,418,food,False
14582,218,423,just,False
14583,218,428,didnt,False
14584,218,434,appeal,False
14589,218,455,give,False
14591,218,463,another,False
14592,218,471,try,False
14594,218,477,just,False
14595,218,482,dont,False
14596,218,487,think,False
14598,218,496,unless,False
14599,218,503,someone,False
14600,218,511,else,False
14602,218,520,buying,False
14603,219,0,stopped,False
14606,219,16,evening,False
14608,219,28,dinner,False
14611,219,42,looking,False
14614,219,56,place,False
14615,219,62,sorta,False
14616,219,68,like,False
14617,219,73,ihop,False
14619,219,81,dennys,False
14621,219,94,diner,False
14622,219,100,sounded,False
14623,219,108,perfect,False
14627,219,129,wait,False
14628,219,134,time,False
14631,219,145,seated,False
14633,219,157,staff,False
14635,219,167,pleasant,False
14636,219,176,friendly,False
14638,219,189,helpful,False
14639,219,197,food,False
14641,219,206,good,False
14643,219,215,portions,False
14645,219,229,large,False
14646,219,235,enough,False
14650,219,255,ended,False
14652,219,264,taking,False
14653,219,271,part,False
14656,219,283,dinners,False
14657,219,291,home,False
14659,219,300,later,False
14663,219,316,meatloaf,True
14664,219,325,plate,False
14669,219,347,pot,False
14670,219,351,roast,False
14675,219,283,dinner,False
14676,219,379,salad,False
14677,219,385,total,False
14679,219,396,tip,False
14683,219,414,little,False
14684,219,421,pricier,False
14687,219,436,dennys,False
14689,219,446,ihop,False
14692,219,460,service,False
14694,219,472,definitely,False
14695,219,483,better,False
14697,220,3,stopped,False
14701,220,24,evening,False
14704,220,39,mothers,False
14705,220,47,birthday,False
14707,220,60,staff,False
14709,220,70,friendly,False
14710,220,79,unfortunately,False
14711,220,93,none,False
14713,220,101,us,False
14715,220,109,overly,False
14716,220,116,impressed,False
14719,220,135,food,False
14722,220,148,okay,False
14725,220,161,well,False
14728,220,173,hundred,False
14730,220,183,expect,False
14732,220,192,little,False
14736,220,211,money,False
14738,220,221,salad,True
14739,220,227,bar,False
14741,220,235,great,False
14744,220,253,just,False
14747,220,268,also,False
14749,220,277,baked,False
14750,220,283,potato,False
14753,220,299,good,False
14755,220,308,prime,False
14756,220,314,rib,False
14759,220,327,dry,False
14761,220,335,tasteless,False
14763,220,350,cheese,False
14764,220,357,cake,False
14765,220,362,crust,False
14767,220,372,burnt,False
14769,220,383,seafood,False
14770,220,391,platter,False
14773,220,405,deep,False
14774,220,410,fried,False
14775,220,416,mess,False
14777,220,424,least,False
14779,220,433,mom,False
14780,220,437,seemed,False
14782,220,447,enjoy,False
14784,220,457,salmon,True
14786,220,470,nothing,False
14788,220,482,horrible,False
14793,220,507,time,False
14794,220,512,nothing,False
14796,220,524,great,False
14797,221,0,stopped,False
14801,221,19,pick,False
14804,221,29,dozen,False
14805,221,35,donuts,True
14808,221,48,early,False
14809,221,54,morning,False
14810,221,62,meeting,False
14812,221,72,found,False
14814,221,82,selection,False
14816,221,95,donuts,True
14820,221,113,minimal,False
14822,221,127,didnt,False
14823,221,133,even,False
14825,221,143,sugar,False
14826,221,149,donuts,True
14828,221,159,thought,False
14832,221,178,basic,False
14833,221,184,must,False
14835,221,35,donut,True
14837,221,203,also,False
14838,221,208,thought,False
14842,221,228,bit,False
14844,221,237,priced,False
14846,221,248,guy,False
14849,221,259,counter,False
14851,221,271,nice,False
14854,221,281,cant,False
14855,221,286,complain,False
14858,221,307,customer,False
14859,221,316,service,False
14861,221,327,staff,False
14862,221,333,loved,False
14864,221,343,donuts,True
14866,221,355,just,False
14867,221,360,didnt,False
14868,221,366,appeal,False
14871,222,0,stopped,False
14874,222,16,yesterday,False
14876,222,30,lunch,False
14878,222,39,wasnt,False
14879,222,45,especially,False
14880,222,56,hungry,False
14883,222,71,group,False
14889,222,97,since,False
14890,222,103,ive,False
14891,222,107,never,False
14892,222,113,tried,False
14894,222,121,red,False
14895,222,125,robin,False
14900,222,143,give,False
14903,222,153,go,False
14905,222,160,place,False
14908,222,175,busy,False
14912,222,192,seated,False
14913,222,199,immediately,False
14916,222,220,seated,False
14917,222,227,near,False
14919,222,234,window,False
14921,222,245,right,False
14922,222,251,away,False
14924,222,258,noticed,False
14925,222,266,dried,False
14926,222,272,food,False
14929,222,284,window,False
14930,222,291,sill,False
14933,222,303,good,False
14934,222,308,sign,False
14936,222,315,ordered,False
14938,222,327,fish,False
14940,222,336,chips,False
14942,222,348,even,False
14943,222,353,though,False
14945,222,362,wasnt,False
14946,222,368,hungry,False
14948,222,377,enjoyed,False
14950,222,389,finished,False
14955,222,412,also,False
14958,222,424,try,False
14960,222,430,tasted,False
14963,222,443,girlfriends,False
14964,222,455,burger,True
14967,222,472,okay,False
14968,222,144,ive,False
14970,222,485,better,False
14974,222,505,food,False
14976,222,514,service,False
14978,222,527,decent,False
14979,222,535,id,False
14980,222,193,eat,False
14984,222,561,clean,False
14986,222,572,window,False
14987,222,579,sills,False
14991,223,11,looking,False
14993,223,22,yelp,False
14996,223,36,place,False
14997,223,42,new,False
14999,223,49,order,False
15002,223,64,decided,False
15004,223,75,try,False
15006,223,85,guys,False
15007,223,90,pies,False
15009,223,98,ordered,False
15011,223,110,maui,False
15012,223,115,wowie,False
15013,223,121,pizza,True
15015,223,130,original,False
15016,223,139,cheesteak,False
15017,223,149,sandwich,True
15019,223,98,order,False
15021,223,169,wings,True
15024,223,182,liter,False
15025,223,188,bottle,False
15027,223,198,soda,True
15029,223,208,total,False
15031,223,218,just,False
15034,223,85,guy,False
15036,223,241,took,False
15038,223,160,order,False
15041,223,265,phone,False
15043,223,275,friendly,False
15045,223,288,delivery,False
15046,223,233,guy,False
15048,223,305,friendly,False
15050,223,319,food,False
15051,223,324,arrived,False
15054,223,342,minutes,False
15056,223,353,far,False
15059,223,364,food,False
15060,223,369,goes,False
15063,223,382,price,False
15066,223,395,hoping,False
15070,223,414,tastier,False
15075,223,438,wings,True
15077,223,448,sandwich,True
15079,223,462,pretty,False
15080,223,469,good,False
15082,223,477,wasnt,False
15084,223,486,impressed,False
15087,223,505,pizza,True
15089,223,515,wasnt,False
15090,223,521,bad,False
15093,223,531,really,False
15094,223,538,wasnt,False
15095,223,544,overly,False
15096,223,551,impressed,False
15097,223,562,ill,False
15098,223,566,probably,False
15099,223,575,try,False
15104,223,596,point,False
15107,223,609,future,False
15110,224,5,got,False
15111,224,9,home,False
15112,224,14,last,False
15113,224,19,night,False
15116,224,33,craving,False
15117,224,41,something,False
15119,224,54,eat,False
15121,224,61,didnt,False
15123,224,72,much,False
15126,224,84,house,False
15129,224,100,hadnt,False
15133,224,118,store,False
15135,224,127,awhile,False
15139,224,142,search,False
15141,224,153,delivery,False
15143,224,165,yelp,False
15145,224,173,see,False
15148,224,188,turn,False
15150,224,197,lo,False
15152,224,204,behold,False
15154,224,213,discovered,False
15156,224,229,place,False
15158,224,239,fairly,False
15159,224,246,close,False
15163,224,62,id,False
15164,224,265,never,False
15165,224,271,tried,False
15172,224,300,beers,True
15175,224,314,shots,False
15177,224,323,tequila,True
15179,224,333,figured,False
15182,224,350,hell,False
15183,224,355,ill,False
15184,224,359,give,False
15187,224,369,try,False
15189,224,376,ordered,False
15191,224,386,hawaiian,False
15192,224,395,pizza,True
15194,224,376,order,False
15196,224,412,wings,True
15199,224,424,bottle,False
15201,224,434,pepsi,False
15203,224,445,food,False
15207,224,460,door,False
15208,224,465,quicker,False
15211,224,482,delivery,False
15212,224,156,ive,False
15213,224,266,ever,False
15214,224,500,hadim,False
15216,224,511,picky,False
15218,224,523,wings,True
15220,224,535,places,False
15221,224,542,seem,False
15222,224,547,way,False
15224,224,557,cooked,False
15227,224,571,taste,False
15229,224,584,wings,True
15231,224,595,great,False
15234,224,610,complaint,False
15238,224,633,just,False
15240,224,640,bit,False
15241,224,644,two,False
15242,224,648,much,False
15243,224,653,sauce,False
15246,224,137,id,False
15247,224,671,probably,False
15248,224,680,strain,False
15250,224,692,next,False
15251,224,697,time,False
15252,224,702,just,False
15254,224,710,let,False
15256,224,716,bit,False
15259,224,726,drip,False
15264,224,750,really,False
15265,224,757,tastythe,False
15266,224,766,pizza,True
15268,224,776,great,False
15270,224,785,good,False
15272,224,793,fact,False
15275,224,806,gonna,False
15278,224,818,new,False
15279,224,822,pizza,True
15280,224,535,place,False
15282,224,403,order,False
15286,224,855,ordered,False
15288,224,865,medium,False
15289,224,872,one,False
15290,224,876,last,False
15291,224,881,night,False
15296,224,901,first,False
15297,224,907,time,False
15298,224,262,id,False
15299,224,915,ordered,False
15305,224,944,good,False
15306,224,949,last,False
15307,224,954,night,False
15310,224,967,ordered,False
15312,224,977,large,False
15313,224,983,one,False
15315,224,991,breakfast,False
15316,224,1001,lol,False
15317,224,1005,seriously,False
15318,224,503,im,False
15319,224,1019,typing,False
15323,224,1036,await,False
15325,224,1046,arrival,False
15326,224,698,im,False
15327,224,1058,just,False
15328,224,1063,waiting,False
15330,224,1074,hit,False
15332,224,1082,post,False
15333,224,1087,button,False
15336,224,1103,arrives,False
15338,224,1114,case,False
15339,224,1119,theyre,False
15340,224,1126,slower,False
15342,224,1138,time,False
15343,224,1143,yep,False
15345,224,996,fast,False
15347,224,908,im,False
15351,224,1181,breakfast,False
15353,225,3,girlfriend,False
15357,225,25,lived,False
15359,225,34,vegas,False
15360,225,40,nearly,False
15361,225,48,years,False
15362,225,55,weve,False
15365,225,73,boulder,False
15366,225,81,city,False
15367,225,86,many,False
15368,225,91,times,False
15370,225,101,never,False
15371,225,107,actually,False
15372,225,116,stopped,False
15373,225,124,anywhere,False
15377,225,147,get,False
15378,225,36,gas,False
15379,225,155,today,False
15381,225,164,decided,False
15383,225,175,play,False
15384,225,180,tourist,False
15386,225,191,boulder,False
15387,225,199,city,False
15389,225,210,shop,False
15391,225,219,one,False
15394,225,230,highlights,False
15397,225,248,trip,False
15399,225,257,staff,False
15401,225,267,friendly,False
15403,225,282,even,False
15404,225,287,offered,False
15405,225,295,us,False
15406,225,298,cookies,True
15408,225,310,coffee,True
15409,225,317,upon,False
15410,225,322,entering,False
