_id,ltable_ID,rtable_ID,ltable_Name,ltable_Author,ltable_Publisher,ltable_Publishing_Date,ltable_Format,ltable_Pages,ltable_Rating,rtable_Name,rtable_Author,rtable_Publisher,rtable_Publishing_Date,rtable_Format,rtable_Pages,rtable_Rating,match
104,619,2733,"Fantasy Freaks and Gaming Geeks: An Epic Quest For Reality Among Role Players, Online Gamers, And Other Dwellers Of Imaginary Realms",Ethan Gilsdorf,Lyons Press,9/1/2010,Hardcover,336,3.7,"Fantasy Freaks and Gaming Geeks: An Epic Quest for Reality Among Role Players, Online Gamers, and Other Dwellers of Imaginary Realms",Ethan Gilsdorf,Lyons Press,9/1/2009,Hardcover,336,3.29,1
105,620,94,Draw More Furries: How to Create Anthropomorphic Fantasy Creatures,Jared Hodges,IMPACT Books,11/23/2012,Kindle,128,4.6,Draw More Furries: How to Create Anthropomorphic Fantasy Animals,Jared Hodges,Impact,11/23/2012,Paperback,127,4.42,1
106,631,369,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Kalmbach Publishing Co.,1/1/2002,Hardcover,192,4.8,The Writer's Guide to Fantasy Literature: From Dragon's Lair to Hero's Quest,Philip Martin,Watson-Guptill Publications,1/1/2002,Paperback,240,3.83,1
107,636,2198,The Year's Best Dark Fantasy & Horror 2015 Edition,Paula Guran,Prime Books,6/23/2015,Paperback,576,3.5,"The Year's Best Dark Fantasy & Horror, 2015 Edition",Paula Guran,Prime Books,7/3/2015,Kindle Edition,576,3.61,1
108,655,435,Great Short Novels of Adult Fantasy,Lin Carter,Ballantine Books,,Paperback,248,4,Great Short Novels of Adult Fantasy Volume II,Lin Carter,Ballantine Books,,Mass Market Paperback,248,3.91,0
109,657,405,Manga Mania Fantasy Worlds: How to Draw the Amazing Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,9/1/2003,Kindle,144,3.8,Manga Mania Fantasy Worlds: How to Draw the Enchanted Worlds of Japanese Comics,Christopher Hart,Watson-Guptill,9/1/2003,Paperback,144,3.34,1
110,663,1866,Final Fantasy X-2: The Official Guide,Piggyback,Piggyback Interactive,2/1/2004,Kindle,242,3.6,Final Fantasy X: The Official Strategy Guide,Piggyback,Piggyback Interactive,5/1/2002,Paperback,228,4.43,0
111,666,1786,Gurp's Fantasy Folk,Chris W. McCubbin,Steve Jackson Games,8/1/1991,Kindle,,5,GURPS Fantasy Folk,Chris W. McCubbin,Steve Jackson Games,11/1/2000,Paperback,144,3.6,1
112,681,1115,Draw & Paint Fantasy Females,Tom Fleming,IMPACT,8/28/2009,Paperback,128,4.1,Draw & Paint Fantasy Females,Tom  Fleming,Impact,8/1/2009,Paperback,127,3.93,1
113,687,1834,J.R.R. Tolkien: Master of Fantasy (Lerner Biographies),David R. Collins,First Avenue Editions,1/1/1993,Kindle,128,5,J.R.R. Tolkien: Master of Fantasy,David R. Collins,Lerner Publishing Group,10/1/1992,Hardcover,112,3.65,1
114,722,2773,The Fantasy Girl,Allan Taylor,First Edition Design Publishing,4/7/2017,Kindle,218,4.7,Fantasy Girl,Candice Gilmer,,,Kindle Edition,,3.65,0
115,727,1155,The Year's Best Fantasy Stories: 3 (Year's Best Fantasy),Lin Carter,DAW,11/15/1977,Kindle,240,2,The Year's Best Fantasy Stories 3,Lin Carter,DAW,11/15/1977,Paperback,240,3.89,1
116,749,1079,Strange Science Fantasy,Scott Morse,IDW Publishing,4/12/2011,Hardcover,196,5,Strange Science Fantasy,Scott Morse,IDW Publishing,4/12/2011,Paperback,196,3.73,1
117,796,2734,"The Year's Best Science Fiction & Fantasy, 2009 Edition (Year's Best Science Fiction and Fantasy)",Rich Horton,Prime Books,1/5/2010,Hardcover,544,3.7,"The Year's Best Science Fiction and Fantasy, 2011 Edition",Rich Horton,Prime Books,6/1/2011,Kindle Edition,544,3.58,0
118,852,2846,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,8/1/2005,Kindle,608,3.8,The Year's Best Fantasy and Horror: Eleventh Annual Collection,Ellen Datlow,St. Martin's Press,7/1/1998,Hardcover,624,4.01,0
119,852,2880,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,8/1/2005,Kindle,608,3.8,The Year's Best Fantasy and Horror: Ninth Annual Collection,Ellen Datlow,St. Martin's Press,7/31/1996,Hardcover,624,4.13,0
120,852,2914,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,8/1/2005,Kindle,608,3.8,The Year's Best Fantasy and Horror: Twelfth Annual Collection,Ellen Datlow,St. Martin's Griffin,7/30/1999,Paperback,624,4.03,0
121,852,2952,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,8/1/2005,Kindle,608,3.8,The Year's Best Fantasy and Horror: Seventh Annual Collection,Ellen Datlow,St. Martin's Press,8/1/1994,Hardcover,624,4.12,0
122,852,3000,The Year's Best Fantasy and Horror: Eighteenth Annual Collection (Year's Best Fantasy & Horror (Paperback)),Ellen Datlow,St. Martin's Griffin,8/1/2005,Kindle,608,3.8,The Year's Best Fantasy and Horror: Nineteenth Annual Collection,Ellen Datlow,St. Martin's Griffin,11/15/2006,Paperback,608,4.05,0
123,1011,802,Her Wicked Fantasy,Taylor Johns,CreateSpace Independent Publishing Platform,11/12/2016,Paperback,370,4.9,Her Wicked Fantasy,Taylor Johns,,,,,4.48,1
124,1038,2462,Raptor: Urban Fantasy Noir (Volume 1),B.A. Bostick,Enchanted Indie Press,4/23/2017,Paperback,522,4.5,Raptor: Urban Fantasy Noir,B.A. Bostick,Enchanted Indie Press,6/26/2017,Kindle Edition,525,4.43,1
125,1053,1873,Drawing & Painting Fantasy Worlds,Finlay Cowan,IMPACT,5/25/2006,Kindle,128,3.6,Drawing & Painting Fantasy Worlds,Finlay Cowan,Writer's Digest Books,5/25/2006,Paperback,121,3.78,1
126,1058,447,The Mammoth Book of Comic Fantasy (Mammoth Books),Mike Ashley,Running Press,5/10/1998,Hardcover,512,1.9,The Mammoth Book of Great Fantasy,Mike Ashley,Robinson Publishing,9/27/2001,Paperback,512,3.43,0
127,1058,2577,The Mammoth Book of Comic Fantasy (Mammoth Books),Mike Ashley,Running Press,5/10/1998,Hardcover,512,1.9,The Mammoth Book of Awesome Comic Fantasy,Mike Ashley,Running Press Book Publishers,5/15/2001,Paperback,512,3.61,0
128,1059,617,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225,3.6,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,3/11/2003,Paperback,225,3.83,1
129,1059,1672,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225,3.6,Sweet Confessions: Erotic Fantasies for Couples,Violet Blue,Cleis Press,7/1/2011,Paperback,224,3.88,0
130,1059,1739,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225,3.6,Sweet Love: Erotic Fantasies for Couples,Violet Blue,Cleis Press,3/9/2010,Paperback,244,4.04,0
131,1059,2301,Sweet Life 2: Erotic Fantasies for Couples,Violet Blue,Cleis Press,,Paperback,225,3.6,Sweet Life: Erotic Fantasies for Couples,Violet Blue,Cleis Press,10/12/2001,Paperback,225,3.96,0
132,1079,776,Get Started in: Writing Science Fiction and Fantasy (Teach Yourself),Adam Roberts,Teach Yourself,6/27/2014,Kindle,256,5,Get Started in: Writing Science Fiction and Fantasy,Adam Roberts,Teach Yourself,6/27/2014,Paperback,256,4.14,1
133,1080,657,Final Fantasy Tactics Advance,Nintendo of America,Nintendo of America,,Paperback,,3.5,Final Fantasy Tactics Advance,Nintendo of America,Nintendo of America,,Paperback,192,4.11,1
134,1085,2156,Writers Workshop of Science Fiction & Fantasy,Michael Knost,"Seventh Star Press, LLC",5/14/2013,Kindle,276,4.4,Writers Workshop of Science Fiction & Fantasy,Michael Knost,Seventh Star Press,4/18/2013,ebook,210,4.22,1
135,1165,104,Fantasy Art Expedition,Finlay Cowan,IMPACT Books,3/26/2010,Kindle,128,4.8,Fantasy Art Expedition,Finlay Cowan,Impact,3/1/2010,Paperback,128,4.13,1
136,1222,2764,"The Best Science Fiction and Fantasy of the Year, Vol. 3",Jonathan Strahan,Night Shade Books,5/1/2009,Kindle,478,3.8,"The Best Science Fiction and Fantasy of the Year, Volume 3",Jonathan Strahan,Night Shade Books,5/1/2009,Paperback,478,3.76,1
137,1284,623,Based on a True Story: Fact and Fantasy in 100 Favorite Movies,Jonathan Vankin,Chicago Review Press,2/1/2005,Paperback,512,3.9,Based on a True Story: Fact and Fantasy in 100 Favorite Movies,Jonathan Vankin,Chicago Review Press,2/1/2005,Paperback,512,3.66,1
138,1702,1331,Inspector Hobbes and the Blood: unhuman I - A fast paced comedy crime fantasy (Volume 1),Wilkie Martin,The Witcherley Book Company,7/24/2013,Paperback,312,4,Inspector Hobbes and the Blood: Comedy Crime Fantasy,Wilkie Martin,Witcherley Book Company,1/20/2017,Hardcover,,3.82,0
139,1820,1331,Inspector Hobbes and the Bones: Cozy Mystery Comedy Crime Fantasy (unhuman) (Volume 4),Wilkie Martin,The Witcherley Book Company,12/16/2016,Kindle,348,4.5,Inspector Hobbes and the Blood: Comedy Crime Fantasy,Wilkie Martin,Witcherley Book Company,1/20/2017,Hardcover,,3.82,0
140,2488,1446,Writers of the Future Vol 34: #1 Bestselling Sci-Fi & Fantasy Short Stories of the Year,L. Ron Hubbard,Galaxy Press,4/10/2018,Kindle,400,,Writers of the Future Volume 34: The Best New Sci Fi and Fantasy Short Stories of the Year,L. Ron Hubbard,,,Paperback,,4,1
141,2591,1950,Gentlemen of the Road: A Tale of Adventure,Michael Chabon,Del Rey,9/30/2008,Paperback,228,3.7,Gentlemen of the Road: A Tale of Adventure,Michael Chabon,Del Rey,9/30/2008,Paperback,206,3.42,1
142,2669,2049,The Drawing of the Dark: A Novel (Del Rey Impact),Tim Powers,Del Rey,11/16/1999,Hardcover,323,4.3,The Drawing of the Dark (Fantasy Masterworks),Tim Powers,Gollancz,11/11/2010,Kindle Edition,336,3.91,1
143,2695,608,El Borak and Other Desert Adventures,Robert E. Howard,Del Rey,2/9/2010,Kindle,592,4.7,El Borak and Other Desert Adventures,Robert E. Howard,Del Rey,2/9/2010,Paperback,592,4.21,1
144,2793,619,The Nutcracker and Mouse King (Fantasy and Horror Classics),E. T. A. Hoffmann,Fantasy and Horror Classics,10/16/2015,Paperback,102,4.2,The Shadow Out of Time (Fantasy and Horror Classics),H.P. Lovecraft,Fantasy and Horror Classics,3/30/2016,ebook,103,3.92,0
145,2926,586,Dragon Rampant: Fantasy Wargaming Rules (Osprey Wargames),Daniel Mersey,Osprey Games,12/22/2015,Kindle,64,4.7,Dragon Rampant: Fantasy Wargaming Rules,Daniel Mersey,Osprey Games,12/22/2015,Paperback,64,4.24,1
146,3165,1855,The Healer's War: A Fantasy Novel of Vietnam,Elizabeth A Scarborough,Open Road Media Sci-Fi & Fantasy,9/2/2014,Paperback,358,4.3,The Healer's War: A Fantasy Novel of Vietnam,Elizabeth Ann Scarborough,Open Road Media Sci-Fi & Fantasy,4/29/2014,Kindle Edition,358,3.67,1
147,3268,930,The Bloodbound,Erin Lindsey,Ace,9/30/2014,Kindle,368,3.8,The Bloody Sun,Marion Zimmer Bradley,,,Mass Market Paperback,372,3.92,0
